condition,epoch,window,observable,k,metric,value
rho2_eta1_tau20_eeon,100,exec,jpca,10,direction_consistency,1.0
rho2_eta1_tau20_eeon,100,exec,jpca,10,mean_tangling,0.10413573044848216
rho2_eta1_tau20_eeon,100,exec,jpca,10,shuffle_r2_mean,0.10389589689369086
rho2_eta1_tau20_eeon,100,exec,jpca,10,shuffle_r2_std,0.029135418196376946
rho2_eta1_tau20_eeon,100,exec,jpca,10,r2_above_shuffle,-0.029790081138265118
rho2_eta1_tau20_eeon,100,prep_vs_exec,orthogonality,6,mean_angle_deg,48.34435412003702
rho2_eta1_tau20_eeon,100,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
rho2_eta1_tau20_eeon,100,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
rho2_eta1_tau20_eeon,100,prep_vs_exec,orthogonality,6,z_vs_null,-69.36327180188057
rho2_eta1_tau20_eeon,100,prep,cv_stability,6,fold_subspace_angle_deg,62.517388463107146
rho2_eta1_tau20_eeon,100,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho2_eta1_tau20_eeon,100,exec,cv_stability,6,fold_subspace_angle_deg,53.704556430811955
rho2_eta1_tau20_eeon,100,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho2_eta2_tau20_eeon,0,prep,pr,,participation_ratio,15.514385375331926
rho2_eta2_tau20_eeon,0,exec,pr,,participation_ratio,11.481704441689798
rho2_eta2_tau20_eeon,0,exec,jpca,4,r2_skew,0.0014439666787159355
rho2_eta2_tau20_eeon,0,exec,jpca,4,r2_full,0.019541669156006858
rho2_eta2_tau20_eeon,0,exec,jpca,4,omega_rad_per_bin,0.0016868761074199236
rho2_eta2_tau20_eeon,0,exec,jpca,4,freq_hz,0.02684746708794959
rho2_eta2_tau20_eeon,0,exec,jpca,4,direction_consistency,0.75
rho2_eta2_tau20_eeon,0,exec,jpca,4,mean_tangling,0.07717858044215015
rho2_eta2_tau20_eeon,0,exec,jpca,4,shuffle_r2_mean,0.004686650496355482
rho2_eta2_tau20_eeon,0,exec,jpca,4,shuffle_r2_std,0.0028256323192076467
rho2_eta2_tau20_eeon,0,exec,jpca,4,r2_above_shuffle,-0.003242683817639547
rho2_eta2_tau20_eeon,0,exec,jpca,6,r2_skew,0.007773671335680632
rho2_eta2_tau20_eeon,0,exec,jpca,6,r2_full,0.02509442256515726
rho2_eta2_tau20_eeon,0,exec,jpca,6,omega_rad_per_bin,0.0061700074803753
rho2_eta2_tau20_eeon,0,exec,jpca,6,freq_hz,0.09819871894156994
rho2_eta2_tau20_eeon,0,exec,jpca,6,direction_consistency,1.0
rho2_eta2_tau20_eeon,0,exec,jpca,6,mean_tangling,0.07848191266404309
rho2_eta2_tau20_eeon,0,exec,jpca,6,shuffle_r2_mean,0.036367762922528815
rho2_eta2_tau20_eeon,0,exec,jpca,6,shuffle_r2_std,0.02407814139667683
rho2_eta2_tau20_eeon,0,exec,jpca,6,r2_above_shuffle,-0.028594091586848183
rho2_eta2_tau20_eeon,0,exec,jpca,10,r2_skew,0.05562584765113565
rho2_eta2_tau20_eeon,0,exec,jpca,10,r2_full,0.06869311596400429
rho2_eta2_tau20_eeon,0,exec,jpca,10,omega_rad_per_bin,0.04394633680049746
rho2_eta2_tau20_eeon,0,exec,jpca,10,freq_hz,0.699427673258044
rho2_eta2_tau20_eeon,0,exec,jpca,10,direction_consistency,1.0
rho2_eta2_tau20_eeon,0,exec,jpca,10,mean_tangling,0.07850798566332455
rho2_eta2_tau20_eeon,0,exec,jpca,10,shuffle_r2_mean,0.09853094195985515
rho2_eta2_tau20_eeon,0,exec,jpca,10,shuffle_r2_std,0.03185093503424231
rho2_eta2_tau20_eeon,0,exec,jpca,10,r2_above_shuffle,-0.0429050943087195
rho2_eta2_tau20_eeon,0,prep_vs_exec,orthogonality,6,mean_angle_deg,39.06175989595541
rho2_eta2_tau20_eeon,0,prep_vs_exec,orthogonality,6,null_mean_deg,85.84262063227922
rho2_eta2_tau20_eeon,0,prep_vs_exec,orthogonality,6,null_std_deg,0.5406069456952225
rho2_eta2_tau20_eeon,0,prep_vs_exec,orthogonality,6,z_vs_null,-86.53396170514135
rho2_eta2_tau20_eeon,0,prep,cv_stability,6,fold_subspace_angle_deg,54.29219243528853
rho2_eta2_tau20_eeon,0,prep,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho2_eta2_tau20_eeon,0,exec,cv_stability,6,fold_subspace_angle_deg,47.94978888658936
rho2_eta2_tau20_eeon,0,exec,cv_stability,6,random_subspace_angle_deg,85.8921540478946
rho2_eta2_tau20_eeon,50,prep,pr,,participation_ratio,30.922720776368724
rho2_eta2_tau20_eeon,50,exec,pr,,participation_ratio,23.23349540173863
rho2_eta2_tau20_eeon,50,exec,jpca,4,r2_skew,0.0026649572724076753
rho2_eta2_tau20_eeon,50,exec,jpca,4,r2_full,0.013732940998296916
rho2_eta2_tau20_eeon,50,exec,jpca,4,omega_rad_per_bin,0.002856730249475451
rho2_eta2_tau20_eeon,50,exec,jpca,4,freq_hz,0.045466274028416145
rho2_eta2_tau20_eeon,50,exec,jpca,4,direction_consistency,0.75
rho2_eta2_tau20_eeon,50,exec,jpca,4,mean_tangling,0.0884536545002867
