label,rho0,eta_istdp,tau_istdp,ee_plasticity,epoch,pr_exec,pr_prep,ortho_deg,jpca_above_shuffle
rho3_eta1_tau40_eeoff,3.0,1e-12,0.04,False,0,51.494040732451474,10.658016418218953,79.12667044232927,-0.008010181333521674
rho3_eta1_tau40_eeoff,3.0,1e-12,0.04,False,50,51.5430743937354,18.20239032174298,76.96922790702482,-0.026271684368319725
rho3_eta1_tau40_eeoff,3.0,1e-12,0.04,False,100,52.366223591429126,22.51755759655702,77.3456271438282,0.02205005067509913
rho3_eta1_tau40_eeon,3.0,1e-12,0.04,True,0,51.494040732451474,10.658016418218953,79.12667044232927,-0.008010181333521674
rho3_eta1_tau40_eeon,3.0,1e-12,0.04,True,50,50.34434033053662,18.036002547162134,75.66813989708191,-0.03606329075051333
rho3_eta1_tau40_eeon,3.0,1e-12,0.04,True,100,52.49185106485782,21.92835709229785,78.4397345203032,-0.004147817008916893
rho3_eta2_tau10_eeoff,3.0,2e-12,0.01,False,0,52.227558362514834,9.591063210629189,81.13812575187207,-0.005656216166584696
rho3_eta2_tau10_eeoff,3.0,2e-12,0.01,False,50,51.29054512755128,12.977867973638071,80.24794209007386,-0.012938868343320212
rho3_eta2_tau10_eeoff,3.0,2e-12,0.01,False,100,52.01482721610481,15.816488731011184,81.62563525873728,0.040138460088816164
rho3_eta2_tau10_eeon,3.0,2e-12,0.01,True,0,52.227558362514834,9.591063210629189,81.13812575187207,-0.005656216166584696
rho3_eta2_tau10_eeon,3.0,2e-12,0.01,True,50,49.927082523346755,12.821373545239647,78.3166824362294,0.009019469435555177
rho3_eta2_tau10_eeon,3.0,2e-12,0.01,True,100,52.70430763561705,15.764978179276797,79.22279496479528,-0.023096239240392863
rho3_eta2_tau20_eeoff,3.0,2e-12,0.02,False,0,51.629653178313916,10.757106943384985,80.6236799052888,0.011077720452137993
rho3_eta2_tau20_eeoff,3.0,2e-12,0.02,False,50,51.494345844659456,17.568849749539176,78.67967312593393,0.00999951410488116
rho3_eta2_tau20_eeoff,3.0,2e-12,0.02,False,100,52.19462023216798,21.169327927232693,77.02796695860478,-0.012997407396671767
rho3_eta2_tau20_eeon,3.0,2e-12,0.02,True,0,51.629653178313916,10.757106943384985,80.6236799052888,0.011077720452137993
rho3_eta2_tau20_eeon,3.0,2e-12,0.02,True,50,52.26819324063058,17.360040472248382,76.62219812368375,-0.032061827918946254
rho3_eta2_tau20_eeon,3.0,2e-12,0.02,True,100,52.403147366026786,19.844099185311446,78.20095453692197,0.010838247488138941
rho3_eta2_tau40_eeoff,3.0,2e-12,0.04,False,0,49.30276061242647,13.624138131568635,68.65119949264479,-0.029808361395440935
rho3_eta2_tau40_eeoff,3.0,2e-12,0.04,False,50,52.41700400063212,24.125150232345565,69.78658137561662,-0.04847097754148985
rho3_eta2_tau40_eeoff,3.0,2e-12,0.04,False,100,52.28548164407841,26.895391236300163,74.19326970881556,-0.045537580256829635
rho3_eta2_tau40_eeon,3.0,2e-12,0.04,True,0,49.30276061242647,13.624138131568635,68.65119949264479,-0.029808361395440935
rho3_eta2_tau40_eeon,3.0,2e-12,0.04,True,50,51.48542661147083,24.21843428770759,71.24487327079382,-0.06749931323325921
rho3_eta2_tau40_eeon,3.0,2e-12,0.04,True,100,50.869333590032674,26.873795137754993,70.99915908293615,-0.04876385251976589
rho3_eta4_tau10_eeoff,3.0,4e-12,0.01,False,0,51.96135868490086,11.021260085150686,77.68261321282087,-0.05934434054137114
rho3_eta4_tau10_eeoff,3.0,4e-12,0.01,False,50,52.44406142319684,16.866166442595485,77.3190005489715,0.014409705845755696
rho3_eta4_tau10_eeoff,3.0,4e-12,0.01,False,100,52.17861212690003,18.233179988094623,76.86720629764568,-0.010839072580298051
rho3_eta4_tau10_eeon,3.0,4e-12,0.01,True,0,51.96135868490086,11.021260085150686,77.68261321282087,-0.05934434054137114
rho3_eta4_tau10_eeon,3.0,4e-12,0.01,True,50,52.79204815533152,16.365221647094387,77.67693144579175,-0.022639409952556616
rho3_eta4_tau10_eeon,3.0,4e-12,0.01,True,100,52.872497845837515,18.953923102051597,76.04814859164395,-0.03413003195577617
rho3_eta4_tau20_eeoff,3.0,4e-12,0.02,False,0,50.3235092558534,14.110672490980463,67.85508514593745,-0.03993639221181086
rho3_eta4_tau20_eeoff,3.0,4e-12,0.02,False,50,48.20503545381545,22.588721930059613,67.7387835978189,-0.012830883256412531
rho3_eta4_tau20_eeoff,3.0,4e-12,0.02,False,100,51.28250517300905,23.72554798724386,70.85716604135601,-0.05088432869600934
rho3_eta4_tau20_eeon,3.0,4e-12,0.02,True,0,50.3235092558534,14.110672490980463,67.85508514593745,-0.03993639221181086
rho3_eta4_tau20_eeon,3.0,4e-12,0.02,True,50,51.1990669590788,21.99859034070823,70.68200712215817,-0.06700430702947677
rho3_eta4_tau20_eeon,3.0,4e-12,0.02,True,100,50.92465383759804,23.537441061843577,72.95411690851942,-0.03998603623943939
rho3_eta4_tau40_eeoff,3.0,4e-12,0.04,False,0,47.71547322916338,19.840014675409556,61.0374921925753,-0.018872452740955947
rho3_eta4_tau40_eeoff,3.0,4e-12,0.04,False,50,49.405871245692055,30.71182198780155,62.49375425689685,-0.0336024606348595
rho3_eta4_tau40_eeoff,3.0,4e-12,0.04,False,100,49.82483492351318,31.441854316185456,66.02856768461903,-0.047464870584521646
rho3_eta4_tau40_eeon,3.0,4e-12,0.04,True,0,47.71547322916338,19.840014675409556,61.0374921925753,-0.018872452740955947
rho3_eta4_tau40_eeon,3.0,4e-12,0.04,True,50,48.13251786034585,30.162263549681278,62.514479139283964,-0.05320082367311989
rho3_eta4_tau40_eeon,3.0,4e-12,0.04,True,100,50.506610991975094,31.41750867794257,65.31672024766873,0.026093567931691028
rho5_eta0.5_tau10_eeoff,5.0,5e-13,0.01,False,0,52.030790496016444,8.495735203759773,81.41737481983527,-0.009149155899532552
rho5_eta0.5_tau10_eeoff,5.0,5e-13,0.01,False,50,39.92975893710581,8.36200611030656,74.8889245896849,0.025144355869956503
rho5_eta0.5_tau10_eeoff,5.0,5e-13,0.01,False,100,43.52923456021362,9.842273357358687,75.15249823176394,-0.0411228857308296
rho5_eta0.5_tau10_eeon,5.0,5e-13,0.01,True,0,52.030790496016444,8.495735203759773,81.41737481983527,-0.009149155899532552
rho5_eta0.5_tau10_eeon,5.0,5e-13,0.01,True,50,19.87590008299856,7.727888855486387,73.72121104757083,0.004091471232371885
rho5_eta0.5_tau10_eeon,5.0,5e-13,0.01,True,100,35.847139024815164,9.308490392617914,74.40025099254625,-0.004298268199617074
rho5_eta0.5_tau20_eeoff,5.0,5e-13,0.02,False,0,40.9856054264563,8.508511912493839,74.42055971026701,-0.024832104884987327
rho5_eta0.5_tau20_eeoff,5.0,5e-13,0.02,False,50,39.33099384861903,10.493025578826506,72.56883331853687,-0.0231977577303822
rho5_eta0.5_tau20_eeoff,5.0,5e-13,0.02,False,100,41.08337936912164,12.404645188384105,75.23970525103671,-0.03599158332962017
rho5_eta0.5_tau20_eeon,5.0,5e-13,0.02,True,0,40.9856054264563,8.508511912493839,74.42055971026701,-0.024832104884987327
rho5_eta0.5_tau20_eeon,5.0,5e-13,0.02,True,50,42.5334586022573,10.116581886868738,73.80605671882155,-0.020373277069626078
rho5_eta0.5_tau20_eeon,5.0,5e-13,0.02,True,100,37.70570094088036,11.968472707494781,72.51461226126933,-0.026058120011844307
rho5_eta0.5_tau40_eeoff,5.0,5e-13,0.04,False,0,31.078747030660523,9.25663495009379,69.08302554755885,0.0002101555014937459
rho5_eta0.5_tau40_eeoff,5.0,5e-13,0.04,False,50,38.448434778702584,13.658813056136658,66.4771449858184,-0.010581858794505822
rho5_eta0.5_tau40_eeoff,5.0,5e-13,0.04,False,100,37.33952940849073,16.227032320368817,71.06177057773047,-0.02969478874468949
rho5_eta0.5_tau40_eeon,5.0,5e-13,0.04,True,0,31.078747030660523,9.25663495009379,69.08302554755885,0.0002101555014937459
rho5_eta0.5_tau40_eeon,5.0,5e-13,0.04,True,50,43.13103424102461,13.670528374063629,68.24380230293933,-0.01776238459962215
rho5_eta0.5_tau40_eeon,5.0,5e-13,0.04,True,100,45.73089317448003,16.394842395313475,69.22491994281582,-0.01004513002956095
rho5_eta1_tau10_eeoff,5.0,1e-12,0.01,False,0,39.025373871912905,8.671254478517364,75.97549621727379,0.036864033277459574
